"","company","rating","salary","city","state","companysize","industy","statistics","r","python","machine learning","engineering","computer science","economics","clustering","data mining","hadoop","java","math","matlab","physics","sas","hive","operations research","sql","classification","applied mathematics","marketing","spark"
"35","Smith Hanley Associates",4.2,NA,"Chicago","IL","1-50","Staffing & Outsourcing",1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"36","Bose",3.6,"$92k-$138k","Framingham","MA","10000--1","Consumer Products Manufacturing",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"37","Priceline.com",3.2,"$92k-$135k","Norwalk","CT","10000--1","Internet",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"38","Dell",3.7,"$75k-$108k","Austin","TX","10000--1","IT Services",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"39","Dell",3.7,"$75k-$108k","Round Rock","TX","10000--1","IT Services",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"40",NA,3.6,"$67k-$104k","sa","OK","51-200","IT Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Apple",4,"$135k-$190k","Santa Clara","CA","10000--1","Computer Hardware & Software",1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
"42","Quicken Loans",3.7,"$84k-$127k","Detroit","MI","10000--1","Lending",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
"43","VanderHouwen",4.2,NA,"Beaverton","OR","201-500","Advertising & Marketing",1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"44","Publishers Clearing House",3.2,"$96k-$146k","Jericho","NY","501-1000","Advertising & Marketing",1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"45","Beyond Finance",4.5,"$85k-$129k","Boston","MA","51-200","Lending",1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0
"46","Deloitte",3.8,"$120k-$179k","Arlington","VA","10000--1",NA,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
"47","The Cadmus Group",3,"$94k-$140k","Washington","DC","501-1000","Consulting",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Progrexion Marketing",3.4,"$71k-$103k","Salt Lake City","UT","1001-5000","Advertising & Marketing",1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"49","Fooda",4.2,"$69k-$106k","Chicago","IL","1-50","IT Services",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
"50","Health Catalyst",4.7,"$128k-$179k","Salt Lake City","UT","501-1000","Enterprise Software & Network Solutions",1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"51","National Grid USA",3.5,"$62k-$96k","Waltham","MA","10000--1","Utilities",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"52","A Place for Mom",4.1,"$90k-$132k","Seattle","WA","201-500","Health Care Services & Hospitals",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"53","Koch Industries",3.6,"$90k-$135k","Arlington","TX","10000--1","Oil & Gas Exploration & Production",1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0
"54","Eventbrite",4.1,"$63k-$91k","Nashville","TN","501-1000","Internet",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"55","Katerra",4.3,"$70k-$120k","Atlanta","GA","501-1000","Industrial Manufacturing",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Cratejoy",4.9,"$89k-$133k","Austin","TX","1-50","Internet",1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"57","Planned Systems International",4.4,"$103k-$154k","Arlington","VA","201-500","Enterprise Software & Network Solutions",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"58","Craftsy",3.8,"$81k-$119k","New York","NY","51-200","Education Training Services",1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
"59","Amazon",3.6,"$111k-$159k","Cambridge","MA","10000--1",NA,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","HUNTER Technical Resources",4.9,NA,"Plano","TX","51-200","Staffing & Outsourcing",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"61","PKW Associates, Inc",4,"$85k-$135k","Windsor Mill","MD","1-50",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"62","Central Intelligence Agency",3.7,"$91k-$136k","Washington","DC","10000--1","Federal Agencies",1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"63","Amazon",3.6,"$111k-$159k","Cambridge","MA","10000--1",NA,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Schneider Electric",3.6,"$89k-$134k","Andover","MA","10000--1","Energy",1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"65","HUNTER Technical Resources",4.9,NA,"Plano","TX","51-200","Staffing & Outsourcing",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"66","UNC Health Care",3.8,"$64k-$99k","Chapel Hill","NC","10000--1","Health Care Services & Hospitals",0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"67","TextRecruit",4.9,"$101k-$154k","San Jose","CA","1-50","Enterprise Software & Network Solutions",1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"68","Navstar",4.2,"$104k-$155k","Reston","VA","51-200","IT Services",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"69","Hollister Staffing",4,"$74k-$107k","Boston","MA","51-200","Staffing & Outsourcing",1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"70","Ford Motor Company",3.8,"$84k-$123k","Dearborn","MI","10000--1","Transportation Equipment Manufacturing",0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"71","Amazon",3.6,"$123k-$174k","Seattle","WA","10000--1",NA,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"72","Dataminr",4.6,"$93k-$139k","New York","NY","201-500","Enterprise Software & Network Solutions",1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"73","Pluralsight",3.9,"$124k-$172k","Boston","MA","201-500","Education Training Services",1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"74",NA,NA,NA,NA,NA,"1-50",NA,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"75","Attune Insurance",5,"$83k-$133k","New York","NY","1-50","Insurance Agencies & Brokerages",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"76","National Renewable Energy Lab",3.3,"$70k-$106k","Golden","CO","1001-5000","Energy",0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
"77","Two Sigma",4.4,"$127k-$196k","New York","NY","1001-5000","Investment Banking & Asset Management",1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"78","ServiceChannel",4.3,"$72k-$107k","New York","NY","51-200","Enterprise Software & Network Solutions",0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"79","Expedia",3.9,"$122k-$171k","Bellevue","WA","10000--1","Internet",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"80","Vettery",4.6,"$78k-$120k","New York","NY","51-200","Internet",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"81",NA,4.6,"$126k-$175k"," Francisco","CA","201-500","Computer Hardware & Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Proofpoint",3.3,"$87k-$124k","Draper","UT","1001-5000","Enterprise Software & Network Solutions",1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"83","Knowles",2.8,"$111k-$164k","Itasca","IL","10000--1","Electrical & Electronic Manufacturing",1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0
"84","MultiCare Health System",3.5,"$64k-$100k","Mount Vernon","IA","10000--1","Health Care Services & Hospitals",1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
"85",NA,4.9,"$80k-$122k","tin","TX","51-200","Enterprise Software & Network Solutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","SeatGeek",4.8,"$99k-$150k","New York","NY","51-200","Internet",1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
"87","7Park Data",3.4,"$76k-$122k","New York","NY","1-50","Research & Development",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"88","Hollister Staffing",4,"$74k-$107k","Boston","MA","51-200","Staffing & Outsourcing",0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"89","Newsela",3.8,"$122k-$184k","New York","NY","51-200","Internet",1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"90","Walmart eCommerce",3.2,"$108k-$149k","Sunnyvale","CA","1001-5000","Internet",1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
"91","Oscar Insurance",3.7,"$120k-$176k","New York","NY","201-500","Insurance Agencies & Brokerages",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"92","Affirm",4.8,"$149k-$207k","San Francisco","CA","201-500","Lending",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","Postmates",3.1,"$85k-$122k","Bellevue","WA","501-1000","Computer Hardware & Software",1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
"94",NA,NA,"$105k-$156k","Berkeley","CA","1-50",NA,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
"95","Vitamin T",4.4,NA,"Chicago","IL","51-200","Advertising & Marketing",1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"96","Domo",4.3,"$74k-$109k","Salt Lake City","UT","501-1000","Computer Hardware & Software",1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1
"97","Remind",4.7,"$100k-$142k","San Francisco","CA","51-200","Computer Hardware & Software",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
