"","company","rating","salary","city","state","companysize","industy","statistics","machine learning","r","python","computer science","mathematics","engineering","data mining","economics","java","sas","physics","operations research","spark","clustering","hadoop","matlab","hive","expression","sql","algorithms","finance","scala","applied mathematics","time series","development","math","econometrics","c++","data science","regression","bayesian methods"
"55","GE Digital",3.2,"$121k-$168k","San Ramon","CA","1001-5000","Enterprise Software & Network Solutions",1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0
"56","The Washington Post",4.1,"$94k-$140k","Washington","DC","1001-5000","Publishing",1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
"57","Smith Hanley Associates",4.2,NA,"Chicago","IL","1-50","Staffing & Outsourcing",1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
"58","HUNTER Technical Resources",4.9,NA,"Plano","TX","51-200","Staffing & Outsourcing",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
"59","Ancestry",4.1,NA,"Lehi","UT","1001-5000","Computer Hardware & Software",0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"60","Planned Systems International",4.4,"$103k-$154k","Arlington","VA","201-500","Enterprise Software & Network Solutions",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"61","Planned Systems International",4.4,"$103k-$154k","Arlington","VA","201-500","Enterprise Software & Network Solutions",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"62","Lazard Asset Management",3.3,"$83k-$128k","New York","NY","1001-5000","Investment Banking & Asset Management",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"63",NA,3.6,"$67k-$104k","Tulsa","OK","51-200","IT Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Quicken Loans",3.7,"$84k-$127k","Detroit","MI","10000+","Lending",1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0
"65","The Cadmus Group",3,"$94k-$140k","Washington","DC","501-1000","Consulting",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"66","Craftsy",3.8,"$81k-$119k","New York","NY","51-200","Education Training Services",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0
"67","IBM",3.5,"$73k-$107k","Dallas","TX","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"68","MultiCare Health System",3.5,"$64k-$100k","Mount Vernon","IA","10000+","Health Care Services & Hospitals",1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
"69","Backcountry",3.2,"$67k-$97k","Park City","UT","501-1000","Department, Clothing, & Shoe Stores",1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0
"70","IBM",3.5,"$77k-$113k","Boston","MA","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"71","Amazon",3.6,"$111k-$159k","Cambridge","MA","10000+",NA,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"72","Stripe",4.1,"$141k-$196k","San Francisco","CA","501-1000","Internet",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"73","Clarity Insights",3.6,"$131k-$183k",NA,NA,"201-500","IT Services",0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0
"74","HUNTER Technical Resources",4.9,NA,"Plano","TX","51-200","Staffing & Outsourcing",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
"75","Amazon",3.6,"$123k-$174k","Seattle","WA","10000+",NA,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"76","Resource Systems Group, Inc",3.6,"$77k-$120k","San Diego","CA","51-200","Consulting",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
"77","GE Digital",3.2,"$121k-$168k","San Ramon","CA","1001-5000","Enterprise Software & Network Solutions",1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0
"78","Morgan Lewis",3.4,"$89k-$134k","Philadelphia","PA","1001-5000","Legal",0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"79","Progrexion Marketing",3.4,"$71k-$103k","Salt Lake City","UT","1001-5000","Advertising & Marketing",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
"80","Schneider Electric",3.6,"$89k-$134k","Andover","MA","10000+","Energy",1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"81","Koch Industries",3.6,"$90k-$135k","Arlington","TX","10000+","Oil & Gas Exploration & Production",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"82","PKW Associates, Inc",4,"$85k-$135k","Windsor Mill","MD","1-50",NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"83","Eventbrite",4.1,"$63k-$91k","Nashville","TN","501-1000","Internet",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"84","TextRecruit",4.9,"$101k-$154k","San Jose","CA","1-50","Enterprise Software & Network Solutions",1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"85","SeatGeek",4.8,"$99k-$150k","New York","NY","51-200","Internet",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
"86","Abcam",3,"$54k-$78k","Eugene","OR","501-1000","Biotech & Pharmaceuticals",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"87",NA,5,"$69k-$111k",NA,NA,"1-50","Publishing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","IBM",3.5,"$74k-$108k","Raleigh","NC","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"89",NA,4.6,"$126k-$175k","San Francisco","CA","201-500","Computer Hardware & Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Ford Motor Company",3.8,"$84k-$123k","Dearborn","MI","10000+","Transportation Equipment Manufacturing",0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"91","Central Intelligence Agency",3.7,"$91k-$136k","Washington","DC","10000+","Federal Agencies",1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0
"92","Sitecore",3.1,"$127k-$176k","Sausalito","CA","501-1000","Computer Hardware & Software",1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"93",NA,NA,NA,NA,NA,"1-50",NA,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
"94","Dell",3.7,"$75k-$108k","Austin","TX","10000+","IT Services",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"95","Deloitte",3.8,"$120k-$179k","Arlington","VA","10000+",NA,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"96","Affirm",4.8,"$149k-$207k","San Francisco","CA","201-500","Lending",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"97","IBM",3.5,"$73k-$107k","Chicago","IL","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"98","Two Sigma",4.4,"$127k-$196k","New York","NY","1001-5000","Investment Banking & Asset Management",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"99","Dell",3.7,"$75k-$108k","Round Rock","TX","10000+","IT Services",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
"100","National Renewable Energy Lab",3.3,"$70k-$106k","Golden","CO","1001-5000","Energy",0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"101","Domo",4.3,"$74k-$109k","Salt Lake City","UT","501-1000","Computer Hardware & Software",1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0
"102",NA,4.9,"$80k-$122k","Austin","TX","51-200","Enterprise Software & Network Solutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","ServiceChannel",4.3,"$72k-$107k","New York","NY","51-200","Enterprise Software & Network Solutions",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"104","Expedia",3.9,"$122k-$171k","Bellevue","WA","10000+","Internet",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
"105","Surescripts",3.3,"$121k-$170k",NA,NA,"501-1000","Enterprise Software & Network Solutions",1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"106","Altair",4.1,"$71k-$101k","Troy","MI","1001-5000","Computer Hardware & Software",0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"107","Proofpoint",3.3,"$87k-$124k","Draper","UT","1001-5000","Enterprise Software & Network Solutions",1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"108","Lockheed Martin",3.7,"$68k-$104k","Orlando","FL","10000+","Aerospace & Defense",1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
"109","Axelon, Inc.",4,"$78k-$117k","Plano","TX","501-1000","Staffing & Outsourcing",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
"110","IM Flash Technologies",3.2,NA,"Lehi","UT","1001-5000","Electrical & Electronic Manufacturing",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"111","CA Technologies",3.2,"$92k-$132k","San Diego","CA","10000+","Computer Hardware & Software",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","Katerra",4.3,"$70k-$120k","Atlanta","GA","501-1000","Industrial Manufacturing",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"113","Beyond Finance",4.5,"$85k-$129k","Boston","MA","51-200","Lending",1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
"114","7Park Data",3.4,"$76k-$122k","New York","NY","1-50","Research & Development",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"115","KeyW",4,"$106k-$156k","Hanover","MD","1001-5000","Aerospace & Defense",0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"116","Remind",4.7,"$100k-$142k","San Francisco","CA","51-200","Computer Hardware & Software",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"117","Air Liquide",3.4,"$91k-$138k","Newark","DE","10000+","Chemical Manufacturing",1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0
"118","Walmart eCommerce",3.2,"$108k-$149k","Sunnyvale","CA","1001-5000","Internet",1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"119","IBM",3.5,"$79k-$116k","New York","NY","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"120","Nike",4,"$69k-$102k","Beaverton","OR","10000+","Consumer Products Manufacturing",1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0
"121","Intel",3.7,"$70k-$104k","Hillsboro","OR","10000+","Computer Hardware & Software",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0
"122","Citadel",3.5,"$117k-$174k","New York","NY","1001-5000","Investment Banking & Asset Management",0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"123","Sprout Social",4.9,"$95k-$139k","Chicago","IL","201-500","Internet",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
