"","company","city","state","companysize","industy","statistics","python","machine learning","engineering","computer science","r","mathematics","economics","sql","data mining","java","operations research","physics","hive","sas","applied mathematics","clustering","econometrics","hadoop","math","genetic information","spark","algorithms","data science","deep learning","development","marketing","matlab","statistical analysis","statistical modeling","modeling","predictive modeling"
"32","Priceline.com","Norwalk","CT","10000+","Internet",1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"33","Spectrum","Arapahoe","CO","10000+","Cable, Internet & Telephone Providers",1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0
"34","Hulu","Santa Monica","CA","1001-5000","TV Broadcast & Cable Networks",1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"35","Rocket Lawyer","San Francisco","CA","201-500","Computer Hardware & Software",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
"36","Dealer Tire","Cleveland","OH","501-1000","Wholesale",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"37","Conviva","Foster City","CA","51-200","IT Services",1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"38","L.A. Care Health Plan","Los Angeles","CA","1001-5000","Health Care Services & Hospitals",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
"39","WellCare","Tampa","FL","5001-10000","Insurance Carriers",0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
"40","Ultimate Software",NA,NA,"1001-5000","Enterprise Software & Network Solutions",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"41","PROS","Houston","TX","1001-5000","Computer Hardware & Software",1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0
