"","skill","n"
"1","statistics",52
"2","r",49
"3","python",43
"4","machine learning",38
"5","engineering",34
"6","computer science",26
"7","economics",23
"8","clustering",19
"9","data mining",19
"10","hadoop",18
"11","java",17
"12","math",16
"13","matlab",14
"14","physics",14
"15","sas",14
"16","hive",13
"17","operations research",13
"18","sql",13
"19","classification",12
"20","applied mathematics",10
"21","marketing",10
"22","spark",10
